"time_stamp","dept","position","how_hear","area"
2019-06-25 12:30:38,"TLT","Staff",NA,NA
2019-07-17 15:35:45,"Psych","Grad","L-UP-PSY-GRADS@lists.psu.edu",NA
2019-07-17 15:36:11,"Psych","Grad","email",NA
2019-07-17 15:39:35,"Ed Ldrshp","Grad","Erika Lunkenheimer and Nilam Ram",NA
2019-07-17 15:43:55,"Psych","Grad","Email",NA
2019-07-17 15:49:02,"Psych","Grad","listserv email","Clinical"
2019-07-17 17:23:18,"Psych","Grad","attended last year",NA
2019-07-18 13:42:41,"Psych","Grad","Email",NA
2019-07-18 13:52:22,"Psych","Grad","Email",NA
2019-07-18 15:56:35,"Psych","Grad","e-mail","I/O"
2019-07-18 16:05:11,"Psych","Grad","email",NA
2019-07-18 16:05:17,"Psych","Post","Adviser shared information",NA
2019-07-18 16:08:27,"Psych","Grad","Email",NA
2019-07-18 16:12:22,"Psych","Grad","Email",NA
2019-07-18 16:13:00,"Psych","Grad","I have been to the last two, and Drs. Hallquist and GIlmore emailed out about it",NA
2019-07-18 16:15:06,"Psych","Grad","Roger Beaty",NA
2019-07-18 16:16:54,"Psych","Grad",NA,"Clinical"
2019-07-18 16:33:58,"Psych","Grad","From attending last year","Clinical"
2019-07-18 16:42:23,"Psych","Fac","email on faculty listserv",NA
2019-07-18 16:42:53,"Psych","Grad","Email",NA
2019-07-18 16:45:06,"Psych","Fac","From various instructors, but especially Rick Gilmore",NA
2019-07-18 17:06:21,"Psych","Grad","email","Developmental"
2019-07-18 17:11:28,"Psych","Post","Email",NA
2019-07-18 19:23:28,"Psych","Grad","Email",NA
2019-07-18 19:54:49,"Psych","Grad","Psych grad student listserv",NA
2019-07-18 20:36:14,"Psych","Grad","Email","Developmental"
2019-07-18 22:00:04,"Psych","Grad","Email",NA
2019-07-18 22:01:55,"Psych","Grad","Email",NA
2019-07-19 08:35:10,"Psych","Grad","Received an e-mail from Sherri Gilliland",NA
2019-07-19 08:37:00,"Psych","Grad","email",NA
2019-07-19 08:44:16,"Psych","Grad","Advisor (Dr Karen Gasper)","Social"
2019-07-19 10:13:00,"Psych","Grad","email",NA
2019-07-19 10:56:20,"Psych","Grad","email","Cognitive"
2019-07-19 10:59:29,"Psych","Grad","List Serv",NA
2019-07-19 11:11:29,"Psych","Grad","Other grad students",NA
2019-07-19 11:38:33,"Psych","Post","Email forward",NA
2019-07-19 12:00:26,"Psych","Grad","Advisor",NA
2019-07-19 12:31:38,"Psych","Grad","Email",NA
2019-07-19 13:09:59,"Psych","Fac","Departmental email, students",NA
2019-07-19 14:30:07,"Psych","Post","Jes Matsick",NA
2019-07-19 15:57:51,"Psych","Staff","Michael Hallquist",NA
2019-07-19 16:06:19,"Psych","Staff","The PI of my lab recommended it.",NA
2019-07-19 22:40:25,"Psych","Grad","Email from Sherri",NA
2019-07-21 09:07:59,"Psych","Grad","Sherri Gilliland and Frank Hillary",NA
2019-07-21 09:13:24,"Psych","Grad","Sherri Gilliland and Frank Hillary",NA
2019-07-21 15:07:35,"Psych","Grad","My advisor",NA
2019-07-21 17:19:56,"Psych","Grad","email","Clinical"
2019-07-22 10:37:48,"Psych","Grad","Psych grad student listserv",NA
2019-07-22 11:13:19,"Psych","Grad","e-mail announcement",NA
2019-07-22 12:47:51,"Psych","Grad","Rick Gilmore email notification",NA
2019-07-22 17:06:29,"Psych","Grad","Email from Michael Hallquist",NA
2019-07-23 09:52:04,"Psych","Staff","Meghan McDoniel-coworker",NA
2019-07-23 14:32:22,"Psych","Grad","Attended last year",NA
2019-07-24 08:14:30,"HDFS","Grad","Email from the department",NA
2019-07-24 08:15:49,"HDFS","Grad","Department email",NA
2019-07-24 08:25:07,"HDFS","Grad","Graduate student listserv",NA
2019-07-24 08:47:19,"HDFS","Grad","Department Email",NA
2019-07-24 10:14:15,"HDFS","Grad","Email",NA
2019-07-24 10:19:44,"Psych","Grad","psychology grad student listserv",NA
2019-07-24 10:24:20,"Psych","Grad","emails from professors","Clinical"
2019-07-24 11:08:34,"Psych","Grad","email","Clinical"
2019-07-24 11:15:31,"Psych","Fac","Department list serve",NA
2019-07-24 12:27:04,"HDFS","Grad","Email from HDFS",NA
2019-07-24 13:57:32,"Neuro","Grad","Psych grad student",NA
2019-07-24 14:38:50,"Psych","Grad","Aaron Pincus",NA
2019-07-24 15:30:42,"HDFS","Grad","Email",NA
2019-07-24 15:34:48,"HDFS","Grad","HDFS e-mail",NA
