"time_stamp","r_exp","got_s8","beverage","age_yrs","sleep_hrs","day","tidy_data","crisis","lang_known"
2019-06-25 12:27:56,"some",1,"Coffee",32,6,"Thursday","Yes",NA,"python"
2019-06-25 12:27:56,"some",1,"Coffee",32,6,"Thursday","Yes",NA,"unix"
2019-06-25 12:27:56,"some",1,"Coffee",32,6,"Thursday","Yes",NA,"swift"
2019-07-17 15:45:04,"some",1,"Tea",26,11,"Saturday","Yes",NA,"none"
2019-07-18 16:12:20,"some",1,"Wine",112,9,"Saturday","That's a personal question",NA,"none"
2019-07-18 16:46:18,"none",3,"Spirits",52,7.5,"Friday","That's a personal question",NA,"spss_sas"
2019-07-18 16:46:18,"none",3,"Spirits",52,7.5,"Friday","That's a personal question",NA,"mplus"
2019-07-18 16:46:18,"none",3,"Spirits",52,7.5,"Friday","That's a personal question",NA,"lisrel"
2019-07-18 17:02:34,"some",1,"Coffee",24,7.5,"Saturday","That's a personal question",NA,"none"
2019-07-19 11:40:44,"none",1,"Wine",31,7.7,"Wednesday","Yes",NA,"spss_sas"
2019-07-19 11:40:44,"none",1,"Wine",31,7.7,"Wednesday","Yes",NA,"msdos"
2019-07-22 11:12:50,"some",8,"Beer",29,7.5,"Friday","Yes",NA,"spss_sas"
2019-07-22 11:12:50,"some",8,"Beer",29,7.5,"Friday","Yes",NA,"mplus"
2019-07-22 16:35:17,"some",4,"Water",26,8,"Thursday","Yes",NA,"spss_sas"
2019-07-22 16:35:17,"some",4,"Water",26,8,"Thursday","Yes",NA,"js_html_css"
2019-07-22 16:35:17,"some",4,"Water",26,8,"Thursday","Yes",NA,"java"
2019-07-23 09:30:45,"limited",1,"Spirits",21,9,"Friday","That's a personal question",NA,"none"
2019-07-23 09:56:12,"none",1,"Water",43,7,"Sunday","That's a personal question",NA,"none"
2019-07-23 17:55:25,"pro",1,"Coffee",28,7.249,"Thursday","That's a personal question",NA,"spss_sas"
2019-07-24 08:46:34,"some",2,"Tea",30,9,"Sunday","No",NA,"spss_sas"
2019-07-24 11:11:21,"limited",7,"Water",26,9,"Friday","That's a personal question",NA,"java"
2019-07-24 14:39:17,"none",10,"Coffee",22,9,"Saturday","Yes",NA,"python"
2019-07-25 14:14:39,"some",1,"Coffee",25,7,"Friday","That's a personal question",NA,"spss_sas"
2019-07-25 14:14:39,"some",1,"Coffee",25,7,"Friday","That's a personal question",NA,"unix"
