"country","year","sex","age_range","freq"
"AD",2000,"m","0-14",0
"AE",2000,"m","0-14",2
"AF",2000,"m","0-14",52
"AG",2000,"m","0-14",0
"AL",2000,"m","0-14",2
"AM",2000,"m","0-14",2
"AN",2000,"m","0-14",0
"AO",2000,"m","0-14",186
"AR",2000,"m","0-14",97
"AS",2000,"m","0-14",NA
"AT",2000,"m","0-14",1
"AU",2000,"m","0-14",3
"AZ",2000,"m","0-14",0
"BA",2000,"m","0-14",4
"BB",2000,"m","0-14",0
"BD",2000,"m","0-14",256
"BE",2000,"m","0-14",3
"BF",2000,"m","0-14",12
"BG",2000,"m","0-14",0
"BH",2000,"m","0-14",0
"BI",2000,"m","0-14",NA
"BJ",2000,"m","0-14",19
"BM",2000,"m","0-14",NA
"BN",2000,"m","0-14",0
"BO",2000,"m","0-14",166
"BR",2000,"m","0-14",1894
"BS",2000,"m","0-14",1
"BT",2000,"m","0-14",6
"BW",2000,"m","0-14",25
"BY",2000,"m","0-14",NA
"BZ",2000,"m","0-14",2
"CA",2000,"m","0-14",5
"CD",2000,"m","0-14",485
"CF",2000,"m","0-14",NA
"CG",2000,"m","0-14",NA
"CH",2000,"m","0-14",0
"CI",2000,"m","0-14",NA
"CK",2000,"m","0-14",0
"CL",2000,"m","0-14",6
"CM",2000,"m","0-14",41
"CN",2000,"m","0-14",1131
"CO",2000,"m","0-14",246
"CR",2000,"m","0-14",14
"CU",2000,"m","0-14",0
"CV",2000,"m","0-14",NA
"CY",2000,"m","0-14",NA
"CZ",2000,"m","0-14",0
"DE",2000,"m","0-14",NA
"DJ",2000,"m","0-14",17
"DK",2000,"m","0-14",5
"DO",2000,"m","0-14",73
"DZ",2000,"m","0-14",59
"EC",2000,"m","0-14",NA
"EE",2000,"m","0-14",0
"EG",2000,"m","0-14",21
"ER",2000,"m","0-14",9
"ES",2000,"m","0-14",NA
"ET",2000,"m","0-14",915
"FI",2000,"m","0-14",0
"FJ",2000,"m","0-14",0
"FM",2000,"m","0-14",0
"FR",2000,"m","0-14",10
"GB",2000,"m","0-14",8
"GD",2000,"m","0-14",NA
"GE",2000,"m","0-14",4
"GH",2000,"m","0-14",73
"GN",2000,"m","0-14",39
"GR",2000,"m","0-14",1
"GT",2000,"m","0-14",36
"GU",2000,"m","0-14",2
"GW",2000,"m","0-14",2
"GY",2000,"m","0-14",4
"HK",2000,"m","0-14",4
"HN",2000,"m","0-14",30
"HR",2000,"m","0-14",NA
"HT",2000,"m","0-14",67
"HU",2000,"m","0-14",0
"ID",2000,"m","0-14",NA
"IE",2000,"m","0-14",0
"IL",2000,"m","0-14",0
"IN",2000,"m","0-14",1588
"IQ",2000,"m","0-14",21
"IR",2000,"m","0-14",29
"IS",2000,"m","0-14",NA
"IT",2000,"m","0-14",12
"JM",2000,"m","0-14",0
"JO",2000,"m","0-14",0
"JP",2000,"m","0-14",2
"KE",2000,"m","0-14",264
"KG",2000,"m","0-14",4
"KH",2000,"m","0-14",26
"KI",2000,"m","0-14",2
"KM",2000,"m","0-14",0
"KN",2000,"m","0-14",NA
"KP",2000,"m","0-14",293
"KR",2000,"m","0-14",19
"KW",2000,"m","0-14",0
"KY",2000,"m","0-14",0
"KZ",2000,"m","0-14",36
"LA",2000,"m","0-14",7
"LB",2000,"m","0-14",5
"LC",2000,"m","0-14",0
"LK",2000,"m","0-14",25
"LR",2000,"m","0-14",12
"LS",2000,"m","0-14",8
"LT",2000,"m","0-14",1
"LU",2000,"m","0-14",NA
"LV",2000,"m","0-14",0
"LY",2000,"m","0-14",5
"MA",2000,"m","0-14",99
"MC",2000,"m","0-14",NA
"MD",2000,"m","0-14",2
"MG",2000,"m","0-14",NA
"MH",2000,"m","0-14",3
"MK",2000,"m","0-14",5
"ML",2000,"m","0-14",23
"MM",2000,"m","0-14",88
"MN",2000,"m","0-14",6
"MO",2000,"m","0-14",0
"MP",2000,"m","0-14",1
"MR",2000,"m","0-14",NA
"MS",2000,"m","0-14",NA
"MT",2000,"m","0-14",0
"MU",2000,"m","0-14",2
"MV",2000,"m","0-14",0
"MW",2000,"m","0-14",50
"MX",2000,"m","0-14",214
"MY",2000,"m","0-14",32
"MZ",2000,"m","0-14",NA
NA,2000,"m","0-14",18
"NC",2000,"m","0-14",1
"NE",2000,"m","0-14",29
"NG",2000,"m","0-14",157
"NI",2000,"m","0-14",18
"NL",2000,"m","0-14",0
"NO",2000,"m","0-14",0
"NP",2000,"m","0-14",170
"NR",2000,"m","0-14",NA
"NU",2000,"m","0-14",NA
"NZ",2000,"m","0-14",0
"OM",2000,"m","0-14",1
"PA",2000,"m","0-14",3
"PE",2000,"m","0-14",552
"PF",2000,"m","0-14",1
"PG",2000,"m","0-14",8
"PH",2000,"m","0-14",NA
"PK",2000,"m","0-14",55
"PL",2000,"m","0-14",1
"PR",2000,"m","0-14",0
"PS",2000,"m","0-14",NA
"PT",2000,"m","0-14",8
"PY",2000,"m","0-14",16
"QA",2000,"m","0-14",0
"RO",2000,"m","0-14",46
"RU",2000,"m","0-14",1
"RW",2000,"m","0-14",155
"SA",2000,"m","0-14",0
"SB",2000,"m","0-14",3
"SC",2000,"m","0-14",NA
"SD",2000,"m","0-14",785
"SE",2000,"m","0-14",0
"SG",2000,"m","0-14",1
"SI",2000,"m","0-14",0
"SK",2000,"m","0-14",2
"SL",2000,"m","0-14",18
"SM",2000,"m","0-14",NA
"SN",2000,"m","0-14",60
"SO",2000,"m","0-14",113
"SR",2000,"m","0-14",1
"ST",2000,"m","0-14",1
"SV",2000,"m","0-14",13
"SY",2000,"m","0-14",8
"SZ",2000,"m","0-14",11
"TC",2000,"m","0-14",NA
"TG",2000,"m","0-14",4
"TH",2000,"m","0-14",27
"TJ",2000,"m","0-14",NA
"TK",2000,"m","0-14",NA
"TM",2000,"m","0-14",16
"TN",2000,"m","0-14",16
"TO",2000,"m","0-14",NA
"TR",2000,"m","0-14",NA
"TT",2000,"m","0-14",0
"TV",2000,"m","0-14",NA
"TZ",2000,"m","0-14",200
"UA",2000,"m","0-14",21
"UG",2000,"m","0-14",283
"US",2000,"m","0-14",6
"UY",2000,"m","0-14",0
"UZ",2000,"m","0-14",6
"VC",2000,"m","0-14",0
"VE",2000,"m","0-14",NA
"VG",2000,"m","0-14",NA
"VN",2000,"m","0-14",51
"VU",2000,"m","0-14",2
"WS",2000,"m","0-14",0
"YE",2000,"m","0-14",110
"YU",2000,"m","0-14",NA
"ZA",2000,"m","0-14",116
"ZM",2000,"m","0-14",349
"ZW",2000,"m","0-14",NA
"AD",2000,"m","15-24",0
"AE",2000,"m","15-24",4
"AF",2000,"m","15-24",228
"AG",2000,"m","15-24",0
"AL",2000,"m","15-24",19
"AM",2000,"m","15-24",152
"AN",2000,"m","15-24",0
"AO",2000,"m","15-24",999
"AR",2000,"m","15-24",278
"AS",2000,"m","15-24",NA
"AT",2000,"m","15-24",17
"AU",2000,"m","15-24",16
"AZ",2000,"m","15-24",9
"BA",2000,"m","15-24",56
"BB",2000,"m","15-24",0
"BD",2000,"m","15-24",3640
"BE",2000,"m","15-24",20
"BF",2000,"m","15-24",91
"BG",2000,"m","15-24",13
"BH",2000,"m","15-24",0
"BI",2000,"m","15-24",NA
"BJ",2000,"m","15-24",277
"BM",2000,"m","15-24",NA
"BN",2000,"m","15-24",6
"BO",2000,"m","15-24",1182
"BR",2000,"m","15-24",7268
"BS",2000,"m","15-24",2
"BT",2000,"m","15-24",65
"BW",2000,"m","15-24",185
"BY",2000,"m","15-24",NA
"BZ",2000,"m","15-24",5
"CA",2000,"m","15-24",34
"CD",2000,"m","15-24",4048
"CF",2000,"m","15-24",NA
"CG",2000,"m","15-24",NA
"CH",2000,"m","15-24",5
"CI",2000,"m","15-24",NA
"CK",2000,"m","15-24",0
"CL",2000,"m","15-24",81
"CM",2000,"m","15-24",518
"CN",2000,"m","15-24",19111
"CO",2000,"m","15-24",763
"CR",2000,"m","15-24",31
"CU",2000,"m","15-24",71
"CV",2000,"m","15-24",NA
"CY",2000,"m","15-24",NA
"CZ",2000,"m","15-24",7
"DE",2000,"m","15-24",NA
"DJ",2000,"m","15-24",302
"DK",2000,"m","15-24",10
"DO",2000,"m","15-24",410
"DZ",2000,"m","15-24",927
"EC",2000,"m","15-24",NA
"EE",2000,"m","15-24",6
"EG",2000,"m","15-24",641
"ER",2000,"m","15-24",70
"ES",2000,"m","15-24",NA
"ET",2000,"m","15-24",5095
"FI",2000,"m","15-24",3
"FJ",2000,"m","15-24",8
"FM",2000,"m","15-24",2
"FR",2000,"m","15-24",136
"GB",2000,"m","15-24",86
"GD",2000,"m","15-24",NA
"GE",2000,"m","15-24",76
"GH",2000,"m","15-24",550
"GN",2000,"m","15-24",551
"GR",2000,"m","15-24",10
"GT",2000,"m","15-24",220
"GU",2000,"m","15-24",1
"GW",2000,"m","15-24",52
"GY",2000,"m","15-24",20
"HK",2000,"m","15-24",78
"HN",2000,"m","15-24",123
"HR",2000,"m","15-24",NA
"HT",2000,"m","15-24",836
"HU",2000,"m","15-24",8
"ID",2000,"m","15-24",NA
